source,target
45066,989648
45066,1146632
45066,8385004
17073,8980119
17073,1063969
17073,7419414
17073,10384794
17073,7419471
17073,10237928
17073,9446820
17073,5551493
17073,1827245
17073,2466350
2482969,5477617
2482969,1749588
2482969,1446135
2482969,6864249
5931584,4083884
5931584,7324814
5931584,822350
5931584,4502921
5931584,989397
5931584,5633080
5931584,4022887
5931584,581752
5931584,10406207
5931584,10406095
8219130,9779083
8219130,8134366
8219130,8943129
8219130,8911624
8219130,6814631
8219130,8134445
8219130,610692
8219130,8619079
8334769,185027
8334769,8821903
8334769,4564999
8334769,2138227
8334769,673450
8334769,2444529
8334769,7654741
8334769,8163933
8334769,3289662
8334769,5085953
8334769,2281381
8334769,3703550
9409228,4418667
3282939,4614174
3282939,4690188
3282939,6798177
3282939,10965949
350875,6430387
350875,3069893
350875,3901857
350875,7559355
350875,7559437
350875,3863671
8514312,3679661
8514312,10348689
8514312,2514672
8514312,3328690
8514312,8116081
5484592,989648
5484592,989422
5484592,10965978
5484592,6111287
5484592,450324
5484592,1903673
5484592,5837011
5484592,7514914
5484592,8872607
5484592,3692460
5484592,2633916
7310600,7515050
7310600,4418528
7310600,9001479
7310600,6111287
5122192,5290081
5122192,7126339
5122192,2977108
5122192,301104
5122192,8437295
5122192,301013
9103831,7187150
9103831,9524465
9103831,7308353
9103831,10467239
9103831,915177
9103831,7285113
4225504,10037002
4225504,2633916
4225504,10044913
4225504,4988525
4225504,989037
4225504,8428641
4225504,1585218
4225504,3176798
4225504,5633033
4225504,3798473
4225504,5756816
4225504,10423573
4225504,4835363
4225504,6993892
9249529,8497872
9249529,10275149
9249529,915499
9249529,41274
9249529,3121524
6696695,6602226
6696695,7187150
6696695,7308697
6696695,8647845
6696695,10159092
6696695,6378858
6696695,1919351
6696695,3400484
6696695,8411901
6696695,3820312
6696695,3400594
6696695,5966992
6696695,2447113
6696695,4510476
6696695,4933250
2537053,7308678
2537053,7308179
2537053,10158206
2537053,2447239
2537053,6818359
2537053,7308517
2537053,10817883
2537053,9380459
2537053,9311794
2537053,9311899
2537053,7263996
2537053,9860108
2537053,7308326
2537053,5651704
2537053,1486613
2537053,7308611
2537053,8411998
4402229,7067382
4402229,8802647
4402229,10048595
8183602,8647962
8183602,4173794
8183602,3141466
8183602,4316221
8183602,8479071
8183531,7644889
8183531,8851766
8183531,7187150
8183531,7682093
8183531,7187144
8183531,7308417
8183531,6602226
4041430,10467239
4041430,3416954
4041430,7644837
4041430,5009648
4041430,10779356
4041430,6098461
4041430,5858115
4041430,5777260
4041430,7308818
4041430,10159092
4041430,8149224
1654788,1920765
1654788,1483433
1654788,930920
1654788,1348220
1654731,6601628
1654731,7308269
1654731,1502425
1654731,6602226
1654731,7308353
4850065,5651761
4850065,6056205
4850065,9380459
4850065,7308326
4850065,5652080
4850065,7901374
4850065,7308276
4850065,5651704
4850065,1687683
4850065,7308517
4850065,5731253
4850065,7308226
4850065,484404
4850065,3769239
4850065,1687131
4850065,2251481
4850065,7308637
4850065,7187144
10378402,6602226
10378402,8851766
10378402,7187150
10378402,1763909
10378402,8411998
10378402,4835254
10378402,3821364
10378402,9380459
10378402,7308276
10378402,3141466
8894986,8647962
8894986,7308252
8894986,7308387
8894986,10159092
8894986,7308818
8894986,4835440
8894986,8411998
8894986,8894579
8894986,4063797
8894986,10100777
8894986,8980305
8894986,3934659
8894986,4835565
8894986,8980418
8894986,1457309
8894986,860837
7055987,7187144
7055987,2953063
7055987,6602467
7055987,7591009
7055987,5777190
2087624,1919054
2087624,7308179
2087624,7308517
2087624,8647984
2087624,7308498
2087624,7574452
2087624,8148875
2087624,1486149
2087624,1524455
2087624,5858115
2087624,8411998
2087624,7901374
4159711,7187150
4159711,1452212
4159711,5880095
4159711,9763001
4159711,7973500
4159711,1763909
4159711,1919795
4159711,9082831
4159711,10159142
4159711,7518532
4159711,604078
507171,6186434
507171,2411241
507171,1148258
507171,9914557
507171,1784435
507171,4347172
6084662,8911624
6084662,8619079
6084662,2447695
453691,8500722
453691,8500330
453691,8499871
453691,3863969
453691,4145024
453691,8090810
453691,11009623
453691,8499859
453691,4842411
453947,4275469
453947,4841946
453947,4275359
453348,4842743
453348,4442273
453348,4842526
4451690,6602791
4451690,6601628
4451690,6602226
4451690,9878835
4451690,3017883
4451690,5777225
4451690,2085290
4451690,8411827
4451690,1102883
4451690,7578081
4451690,9567615
8105375,301154
8105375,3272008
8105375,8677860
8105375,4425795
8105375,7066983
8105375,8134210
8105375,8437954
8105375,7339160
8105375,4856933
8105375,1256736
8105375,1257417
8105375,9743840
8105375,2977108
8105375,6396082
8105375,1257291
8105375,7066947
8105375,7339114
8105375,8134606
8105375,5551847
8105375,9957733
3710466,11245911
3710466,10013382
3710466,9508449
11175243,8943242
11175243,6679193
11175243,1585501
11175243,301089
453590,8500062
453590,1819407
453590,9870930
453590,8911342
453590,4841900
453590,8069959
453590,154202
453590,1497861
453590,6476786
453590,989037
453590,6335577
507400,6601628
507400,6602226
507400,7392586
507400,7108832
507400,8872447
507400,4906718
507400,8110956
507400,2958305
507400,10768802
507400,41523
507400,5476551
507400,5777190
507400,1147358
507400,8110710
507070,704863
507070,1901768
507070,4418624
507070,4418550
507070,9957713
507070,4835283
507070,41724
507070,4835307
3710422,7285946
3710422,1301607
3710422,5546782
6603972,614168
6603972,10776133
6610296,11009343
6610296,989007
6610296,10489342
6610296,9048271
6610296,10044784
6610296,178925
6610296,9860303
6610296,4418664
6610296,10458216
6610296,9737127
6610296,7769765
6610296,2633915
6610296,4418467
6610296,4835630
6610296,989037
6610296,2341392
6610296,9914697
10523120,4371676
6417713,9001442
6417713,989648
6417713,7856073
6417713,1403052
6417713,8894478
6417713,2633905
6417713,9779532
6417713,4418648
6417713,10043922
6417713,7308179
6417713,989223
6417713,4418634
6417713,2340652
6417713,118391
6417713,118649
6417713,4835767
6417713,9779466
6417713,7187150
1044835,6257902
1044835,3890412
1044835,8721787
1044835,1979485
1044835,727438
1044835,4371676
1044835,2661145
8516217,4946529
8516217,735543
8516217,3973071
8516217,364955
8516217,10934042
8516217,5754765
8516217,2444309
8516217,9118444
8516217,6874868
8516217,8822053
8516217,10802654
8516217,6863741
1716111,7308348
1716111,10494285
1716111,8691788
1716111,7308678
1716111,7308326
1716111,4835283
1716111,8235470
1716111,4648249
1716111,817139
1716111,5476508
1716111,11212959
1716111,2317491
1716111,313872
1716111,4835593
1716111,5250510
1716111,5636712
1716111,7324908
1716111,683214
1716111,9779532
1716111,4418648
1716111,8110775
1716111,2316974
1716111,2710425
6986420,6602226
6986420,1457309
6986420,7308326
6986420,7308226
6986420,2316945
6986420,118403
6986420,10494800
6986420,7308517
6986420,7187150
6986420,8911624
6986420,6814631
6986420,8710043
6986420,1585401
10232123,4803768
10232123,1827245
10232123,1216176
10232123,10269713
10232123,10043724
1741861,989648
1741861,4988319
1741861,10044913
1741861,10458271
1741861,4723614
1741861,6127704
1741861,4418664
1741861,4037432
1741861,4835570
1741861,900813
1741861,9923198
1741861,6649219
1741861,8111336
1741861,9959578
1876380,10071375
1876380,7308678
1876380,7308326
1876380,7308276
1876380,7324519
1876380,7308517
1876380,7308637
1876380,5632602
1876380,9446820
1876380,2317424
1876380,10765132
1876380,4294578
1876380,9779121
1876380,5476542
1876380,1585615
1876380,7431827
1876380,7187150
3948981,5294550
3948981,7885966
3948981,5172776
3948981,6056415
3948981,8411909
3948981,8911624
3948981,5155281
3948981,9779083
3948981,2864172
3948981,2447821
3948981,9759382
3948981,7644889
3948981,118748
3948981,8911267
3948981,10818198
3948981,7590851
8964976,9001362
8964976,10426433
8964976,118741
8964976,6986441
3806619,5954346
3806619,10494494
3806619,404334
3806619,5476574
3806619,1014242
3806619,1102910
3806619,5954479
3806619,10423573
3806619,5954494
8736419,5476587
8736419,5708866
8736419,5116611
8736419,10779329
8736419,6513363
8736419,12512
8736419,2920180
8736419,7644889
8736419,1502491
8736419,10100970
8736419,7187144
8736419,4906163
1876736,4418664
1876736,8911454
1876736,10043922
1876736,4418648
1876736,4835710
1876736,1457444
1876736,10036782
1876736,10044121
1876736,4418667
1876736,2634001
1876736,4418467
1876736,2411119
2481202,11195603
2481202,2526938
2481202,1392570
2481202,11240241
2481202,2117902
2481202,3252530
2481202,8911624
2481202,8134390
2481202,6945833
2481202,1257494
2481202,5109483
2481202,8873384
2481202,9778652
2481202,4482242
2481202,610692
2481202,7067294
2481202,4629051
2481202,7392565
2481202,2977108
2481202,2526804
2481202,300772
2481202,8899942
2481202,301154
2481202,8619079
2481202,9699391
2481202,4059537
2481202,7540340
2481202,7138040
1715997,1728439
1715997,6405360
1715997,8121636
1715997,2266191
1715997,6172162
1715997,4086464
1716009,2341375
1716009,7364242
1716009,9643554
1716009,1245242
1716009,6404771
1716009,6673927
1716009,6346571
1716009,7501456
1716009,9233354
1716009,2314142
1716009,7578011
1716009,10765382
1716009,2110307
1716009,7157651
2588948,344746
2588948,4085877
4765146,32931
4765146,9268102
4765146,2341289
4765146,5637065
6986657,10044068
6986657,5633391
6986657,10044913
6986657,989194
6986657,989422
6986657,4843026
6986657,7283245
6986657,7209837
6986657,1403052
6986657,6320185
6986657,4835710
6986657,9779501
6986657,9835797
6986657,5593841
7590214,7308706
7590214,10101094
7590214,2634303
7590214,7589952
7590214,9048271
7590214,10100777
7590214,5633080
7590214,989089
7590214,9914281
7590214,5509264
7590214,4418634
7590214,10965725
7590214,2466350
7590214,1029452
7590214,989007
7590214,1903673
7590214,10044744
7590214,988939
7590214,10044380
7590214,9001318
4225483,41908
4225483,5476587
4225483,10100970
4225483,6835500
4225483,5476468
4225483,7308590
4225483,4294526
4225483,6942628
4225483,9001066
4225483,7589952
4225483,5632602
4225483,9000817
4225483,7591300
4225483,7589792
4225483,10965725
4225483,4892546
4225483,989310
1800761,195345
1800761,7324814
1800761,4083884
1800761,3763401
1800761,7187150
1800761,747244
1800761,7308590
1800761,6835449
1800761,7325127
1800761,2435181
1800761,7644889
1800761,7308179
1800761,334128
10457777,3176773
10457777,8148875
10457777,8110766
10457777,5800801
10457777,678441
1714835,989422
1714835,5632602
1714835,10044822
1714835,3729629
1714835,989194
1714835,10044913
1714835,9835797
1714835,4835603
1714835,9928689
1714835,4418467
1714835,4835630
1714835,989037
1714835,1585218
1714835,989007
1714835,4835619
1714835,8985021
1714835,1903673
1714835,5499347
1714835,4835331
1714835,10307561
1714835,6395856
1714835,4835570
6373310,2314071
6373310,8142812
6373310,8006049
6373310,7157385
6373310,7157071
1715266,4988541
1715266,4418667
1715266,8328001
10631822,6677992
10631822,8005891
10631822,6674275
10631822,7157385
10631822,9983438
10631822,1245184
10631822,7744351
10631822,2266191
10631822,7157794
10631822,783916
10631822,10478581
10631822,10688477
10631822,6994758
10631822,6673502
4765355,6602226
4765355,6601628
4765355,3169157
4765355,8316908
4765355,2472433
4765355,8411999
4765355,8411827
4765355,7264155
4765355,874104
4765355,10423518
4765355,10019161
4765355,8428413
4765355,10043724
4765355,178541
5301877,5382651
5301877,1992433
5301877,3554677
5301877,3794278
5301877,4371676
5301877,8116706
5301877,5022449
5301877,1080050
5301877,9849999
5301877,9120028
5301877,10182976
5301877,10802267
5301877,270422
10699950,6676266
10458343,2634081
10458343,989194
10458343,989422
10458343,313955
10458343,8149721
10458343,8411827
10458343,10043724
10458343,8411999
10458343,7909871
10458060,6602226
10458060,10426007
10458060,1473434
10458060,9001066
10458060,10768666
10458060,314223
10458060,10044604
10458060,10044947
10458060,7308706
10458060,10406095
5301757,301154
5301757,8911624
5301757,4402229
5301757,1257220
5301757,4425801
5301757,5250258
5301757,1257534
5301757,8873384
5301757,7067382
5301757,7339114
5301757,2447821
6804429,2266171
6804429,10937900
6804429,5864295
6804429,10205810
6804429,891820
6804429,7364242
6804429,6841531
940847,2266171
940847,10937900
940847,5864295
940847,10205810
940847,891820
940847,7364242
940847,6841531
941201,6405360
941201,5079837
941201,6679246
941201,7364251
941201,6841490
941201,1023628
941201,2031978
941201,2265988
941201,3176787
941201,6673411
941201,110740
941201,2193736
941201,5753232
941201,2266414
941201,7744187
941201,4881213
46414,859018
46414,9001009
46414,5251284
46414,7644889
46414,4843061
46414,4322266
46414,1925211
46414,11189898
46414,5116611
46414,4059430
46414,5009850
46414,7241516
46414,2855192
46414,7178023
46414,5509264
46414,9983713
46414,286737
46414,989648
46414,7856073
46414,8235912
46414,799064
46414,2824917
6804952,6405360
6804952,5079837
6804952,6679246
6804952,7364251
6804952,6841490
6804952,1023628
6804952,2031978
6804952,2265988
6804952,3176787
6804952,6673411
6804952,110740
6804952,2193736
6804952,5753232
6804952,2266414
6804952,7744187
6804952,4881213
6925214,4842805
6925214,4841921
6925214,1592035
6925214,7515010
6925214,9000966
6925214,4415932
2000107,6601628
2000107,195323
2000107,10818198
2000107,7308353
2000107,10494099
10458271,1585401
10458271,988939
10458271,7558907
10458271,2958005
10458449,2614058
10458449,10765210
10458449,7514975
10458449,10036906
10458449,10044715
10458449,10965725
10458449,989422
10458449,10044380
10458449,1585407
10458449,7954003
10458449,2340866
10458449,5476542
10458449,9779121
10458449,989310
10458449,7590911
10458449,5632602
10458449,9779329
10458449,10494385
10458449,5954112
10458449,5027782
10458449,2953116
1999595,8911624
1999595,8911267
1999595,9779083
1999595,9957733
1999595,8427021
1999595,10440100
1999595,8000401
1999595,8134318
1999595,10685557
1999595,3334288
1999595,9320572
1999595,2447701
1999595,8619079
1999595,11195601
1999595,8618954
1999448,270472
1999448,10182976
1999448,10895726
1999448,8116205
1999448,941
1999448,8863473
9950946,7294593
9950946,10688682
9950946,2110128
9950946,2912919
9950946,8868422
5062793,10426456
5062793,7108874
5062793,8229872
5062793,8645213
5062793,300119
5062793,9779238
5062793,4593973
5062793,2317491
5062793,9001359
10457560,10044068
10457560,5837071
10457560,8236083
10457560,989194
10457560,704642
6677425,8911454
10457859,8911624
10457859,610692
10538726,989194
10538726,7909890
10538726,10043922
10538726,8911454
10538726,4418648
3843138,7157185
3843138,1301585
3843138,6677992
3843138,1942031
3843138,7265907
3843138,5071827
3843138,8121134
3843138,2193565
3843138,6766537
3843138,5286181
3843138,8404329
10457525,10539053
10457525,581820
10457525,4418648
10457525,10043922
10457525,4842904
10457525,4418634
10457525,988939
10457525,2945578
7559088,7559170
7559088,11051602
7559088,7909797
7559088,5249161
7559088,4842953
7559088,7559326
7559088,4418648
10516040,10071375
10516040,10966108
10516040,6993068
10516040,989194
10516040,4723614
10516040,10405903
10516040,10458148
10516040,4892573
10516040,7308706
10516040,4775588
10516040,1457020
10516040,6649706
10516040,2634053
10516040,817139
10516040,11195365
10516040,4835440
10516040,9717241
10516040,3141466
5876442,6602226
5876442,4835603
5876442,5837011
5876442,2341289
5876442,11195523
5876442,8961423
5876442,6986815
5876442,8985021
5876442,2527348
5876442,7813505
5876442,4835630
5876442,989037
5876442,4835656
5876442,9779356
5876442,4835298
7945560,9779363
7945560,3692460
7945560,7308706
7945560,10559550
7945560,6173487
7945560,10817584
7945560,6602226
7945560,10458396
7945560,10406198
7945560,314560
7945560,939582
7945560,5954427
7945560,5800801
7945560,4892610
7945560,4906413
7945560,3176660
2652274,9922974
2652274,4418528
2652274,9048271
2652274,4149781
2652274,4035537
2652274,790167
2652274,989422
2652274,7187150
2652274,5633100
2652274,10043796
2652274,10044873
2652274,2323800
2652274,7590580
2652274,10457560
2652274,7308348
2652274,9082831
2652274,10494285
2652274,4877091
2652274,10423380
2652274,10768722
2652274,9380459
2652274,5476542
2652274,1014133
2652274,8110766
2652274,10869583
2652274,1530508
2652274,10506089
2652274,6814631
2652274,2447821
453813,3225848
453813,4842411
453813,575180
453813,1777287
453813,6142668
453813,1777706
453813,4138626
453813,8499751
453813,5954417
453813,8911454
453813,7680315
352746,1777704
352746,1591950
352746,3798417
352746,10934812
352746,10307561
352746,1777866
352746,1778133
352746,10965978
352746,4988529
352746,9621537
504578,7559170
504578,7559217
504578,7559355
504578,3371475
504578,7515995
504578,7559437
504534,6602226
504534,7308678
504534,7308179
504534,3121627
504534,118741
504534,9894783
504534,8411998
504534,4614645
504534,8236083
504534,2948139
504534,7187144
504534,8461271
504534,4906668
8549287,6601628
8549287,6602226
8549287,7558894
8549287,10599916
8549287,7589952
8549287,989648
8549287,4988319
8549287,9048271
8549287,4723614
8549287,989422
8549287,4892921
8549287,1146632
8549287,10044822
8549287,10044604
8549287,588979
8549287,8873025
8549287,10559550
8549287,7515256
8549287,7558431
6986313,10458271
6986313,989422
6986313,4835831
6986313,4988319
6986313,7590214
6986313,9048271
6986313,4723614
6986313,5552111
6986313,4835529
6986313,10044913
7553264,8911624
7553264,610692
7553264,9062847
1892615,3289927
1892615,9001066
1892615,4835546
1892615,989823
1892615,7308209
1892615,989087
1892615,704851
1892615,4835831
1892615,4418667
1892615,4418634
10614118,5250608
10614118,301122
10614118,2977108
10614118,1256955
10614118,8437314
10614118,9779083
10914863,5856716
10914863,5777008
10914863,5632602
10914863,9001318
10914863,10892432
10914863,10491887
10914863,10431565
10914863,7308179
10914863,4803768
10914863,9001260
10914863,2229230
10914863,9001442
10914863,7187150
4643595,5633391
4643595,5633373
4643595,5632602
4643595,989087
4643595,10818099
4643595,10426154
4643595,4294718
4643595,10768722
4643595,10423380
4643595,10494285
4643595,7644889
4643595,7324814
4643595,1679487
4643595,4083884
4643595,5278448
4643595,7451157
4643595,6547477
4643595,5633080
4643595,989089
4643595,10817587
4643595,581752
4643595,2701939
4643595,4892945
4643595,9779164
4643595,10044822
4643595,1826188
4643595,9914479
4643595,8980418
10915143,704647
10915143,7308497
10915143,4418648
10915143,4842877
10915143,10036772
10915143,2341392
10915143,262539
10915143,9000875
10915143,9621712
8219555,6679246
8219555,7891049
8219555,1363646
8219555,6994756
1903134,10044068
1903134,4275359
1903134,10044715
1903134,6749668
1903134,4842310
1903134,9001140
1903134,9000790
1903134,4418483
1903134,10538768
1903134,4841939
1903134,8500096
1903134,11008357
1903134,5476574
1903134,9000708
3880672,6679300
3880672,4418648
3880672,5955010
3880672,4758433
3880672,5081496
3880672,9000907
3880672,2452223
3880672,6716192
6925157,10538858
6925157,4418483
6925157,4988397
6925157,9779363
6925157,704431
6925157,2893180
6925157,4842685
6925157,2634237
6925157,4835570
6925157,5954417
6925157,10043922
6925157,10965870
8804968,5027596
8804968,1920765
8804968,4906680
8804968,2639917
8804968,8873582
8804968,1918581
8804968,7644837
8804968,11017560
4810171,7308637
4810171,7308678
4810171,3203368
4810171,3202848
4810171,2352848
4810171,8148875
4810171,7308326
4810171,7644889
4810171,5476543
4810171,1763728
4810171,7308276
4810171,10100777
4810171,9860392
8805093,5777490
8805093,10424166
8805093,1911581
8805093,5027951
410569,7644640
410569,8314899
410569,7285113
410569,3202613
410569,4665775
410569,6716136
410569,5880095
410569,8411827
410569,5837075
280677,6601628
280677,7308179
280677,4444085
280677,9446820
280677,1674313
280677,227351
280677,4316206
5370575,3934677
5370575,2251481
5370575,5351315
5370575,9082831
5370575,4444528
5370575,8193912
5370575,1752927
3642937,2459162
3642937,6482660
3642937,4835799
3642937,6428165
3642937,3196986
3642937,6963541
3642937,8980264
3642937,5476574
301089,3768891
10748982,11024729
10748982,3196986
10748982,6482660
10748982,4835799
10748982,4835254
10748982,563782
10748982,5476574
10748982,5028103
4322450,6602226
4322450,7187144
4322450,7187150
4322450,8851766
4322450,7263743
4322450,1763728
4322450,3606928
4322450,7308517
4322450,7308637
4322450,7308326
4322450,7308678
4322450,7308179
4322450,5837094
4322450,5476525
8592020,6601628
8592020,6602226
8592020,7187144
8592020,7187150
8592020,9380459
8592020,5009648
8592020,10243931
8592020,8980152
135038,6602226
135038,9504821
135038,4063825
135038,8411827
135038,1763909
135038,7644889
135038,10041098
